Market,Time Zone,Open,Close,Sat Open,Sat Close,Year,Month,NDay,Day,Hour,Order Management Interactions,Order Management HT (hr),Orders,Analog,Digital,Occur Int,Occur Ord
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,19:00:00.000,1,0.03972222222,1,0,1,1,1
SOUTH CA,,,,,,2025,9,5,Friday,20:00:00.000,3,0.06694444444,,,,2,
SOUTH CA,,,,,,2025,9,6,Saturday,03:00:00.000,2,0.02527777778,,,,2,
SOUTH CA,,,,,,2025,9,6,Saturday,04:00:00.000,1,0.02444444444,,,,1,
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,05:00:00.000,18,1.943062131,2,2,0,4,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,06:00:00.000,30,2.934402492,2,2,0,4,3
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,07:00:00.000,60,12.445788906,5,5,0,4,2
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,08:00:00.000,70,11.51163565,13,11,2,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,09:00:00.000,72,14.066492242,16,15,1,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,10:00:00.000,43,4.907976144,11,11,0,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,11:00:00.000,36,7.249973356,8,5,3,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,12:00:00.000,26,3.133730122,49,12,37,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,13:00:00.000,25,2.168800689,4,4,0,4,2
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,14:00:00.000,9,0.4875,1,0,1,4,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,15:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,6,Saturday,19:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,0,Sunday,09:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,0,Sunday,17:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,0,Sunday,23:00:00.000,,,1,1,0,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,00:00:00.000,,,2,2,0,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,05:00:00.000,61,9.160235037,14,12,2,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,06:00:00.000,87,16.799800078,26,16,10,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,07:00:00.000,113,26.576065327,31,29,2,3,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,08:00:00.000,126,41.487014211,55,43,12,3,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,09:00:00.000,158,41.057837535,68,51,17,3,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,10:00:00.000,172,51.561296191,80,42,38,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,11:00:00.000,251,91.222702934,88,67,21,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,12:00:00.000,173,48.386654975,58,44,14,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,13:00:00.000,184,49.341987084,49,35,14,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,14:00:00.000,208,48.527871206,68,50,18,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,15:00:00.000,117,42.665248653,40,28,12,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,16:00:00.000,49,7.46754793,25,9,16,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,17:00:00.000,,,6,0,6,,3
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,18:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,19:00:00.000,4,0.1627777778,4,1,3,1,2
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,20:00:00.000,3,0.09666666667,1,0,1,2,1
SOUTH CA,,,,,,2025,10,1,Monday,21:00:00.000,1,0.01083333333,,,,1,
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,1,Monday,23:00:00.000,,,5,0,5,,1
SOUTH CA,,,,,,2025,10,2,Tuesday,00:00:00.000,1,0.01027777778,,,,1,
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,04:00:00.000,,,2,0,2,,2
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,05:00:00.000,43,6.058272589,12,6,6,4,3
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,06:00:00.000,72,17.662135533,36,26,10,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,07:00:00.000,126,30.74786783,26,22,4,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,08:00:00.000,161,48.328393144,66,51,15,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,09:00:00.000,173,55.911231862,72,50,22,4,4
