Market,Year,Month,Media Type,Handle Time (seconds),Interactions
CENTRAL AL,2026,5,voice,455108,3655
DEMOPOLIS,2025,6,callback,13,2
DEMOPOLIS,2025,6,message,2759,7
DEMOPOLIS,2025,6,voice,65437,298
DEMOPOLIS,2025,7,callback,10,2
DEMOPOLIS,2025,7,voice,43900,244
DEMOPOLIS,2025,8,callback,5,1
DEMOPOLIS,2025,8,message,1714,8
DEMOPOLIS,2025,8,voice,50766,216
DEMOPOLIS,2025,9,callback,26,3
DEMOPOLIS,2025,9,message,774,5
DEMOPOLIS,2025,9,voice,57363,271
DEMOPOLIS,2025,10,callback,12,2
DEMOPOLIS,2025,10,message,161,3
DEMOPOLIS,2025,10,voice,60174,244
DEMOPOLIS,2025,11,message,5,1
DEMOPOLIS,2025,11,voice,57600,306
DEMOPOLIS,2025,12,callback,48,1
DEMOPOLIS,2025,12,message,181,1
DEMOPOLIS,2025,12,voice,40529,267
DEMOPOLIS,2026,1,callback,162,3
DEMOPOLIS,2026,1,message,345,3
DEMOPOLIS,2026,1,voice,39063,218
DEMOPOLIS,2026,2,callback,4,1
DEMOPOLIS,2026,2,message,483,3
DEMOPOLIS,2026,2,voice,57354,314
DEMOPOLIS,2026,3,callback,6,1
DEMOPOLIS,2026,3,message,821,6
DEMOPOLIS,2026,3,voice,82362,414
DEMOPOLIS,2026,4,callback,5,1
DEMOPOLIS,2026,4,message,293,3
DEMOPOLIS,2026,4,voice,49463,262
DEMOPOLIS,2026,5,message,1546,8
DEMOPOLIS,2026,5,voice,40491,255
DOTHAN,2025,6,voice,312478,2220
DOTHAN,2025,7,voice,254655,2300
DOTHAN,2025,8,voice,249231,2228
DOTHAN,2025,9,voice,222267,2142
DOTHAN,2025,10,voice,260699,2349
DOTHAN,2025,11,voice,210499,1937
DOTHAN,2025,12,callback,25,4
DOTHAN,2025,12,voice,188442,1715
DOTHAN,2026,1,callback,171,3
DOTHAN,2026,1,voice,215765,1797
DOTHAN,2026,2,callback,91,6
DOTHAN,2026,2,voice,207350,1830
DOTHAN,2026,3,callback,233,13
DOTHAN,2026,3,voice,259990,2219
DOTHAN,2026,4,callback,23,3
DOTHAN,2026,4,voice,209395,1797
DOTHAN,2026,5,callback,40,4
DOTHAN,2026,5,voice,143735,1328
EAST TN,2025,6,callback,938,66
EAST TN,2025,6,voice,654177,5519
EAST TN,2025,7,callback,327,11
EAST TN,2025,7,voice,638135,5210
EAST TN,2025,8,callback,204,11
EAST TN,2025,8,voice,529760,4589
EAST TN,2025,9,callback,94,11
EAST TN,2025,9,voice,514235,4766
EAST TN,2025,10,callback,330,13
EAST TN,2025,10,voice,544747,4846
EAST TN,2025,11,callback,289,16
