Market,YEAR,MONTH,Media Type,Handle Time (seconds),Interactions
Reno,2025,12,voice,132358,1289
Reno,2026,1,voice,151087,1453
Reno,2026,2,voice,132466,1309
Reno,2026,3,voice,194670,1965
Reno,2026,4,voice,196512,1826
San Antonio,2025,5,voice,329492,2568
San Antonio,2025,6,voice,422602,3117
San Antonio,2025,7,voice,471907,3376
San Antonio,2025,8,callback,6,1
San Antonio,2025,8,voice,379130,2756
San Antonio,2025,9,callback,9,1
San Antonio,2025,9,voice,360507,2609
San Antonio,2025,10,callback,151,1
San Antonio,2025,10,voice,395019,3198
San Antonio,2025,11,voice,79172,689
San Antonio,2025,12,voice,69802,699
San Antonio,2026,1,voice,61376,651
San Antonio,2026,2,voice,69734,662
San Antonio,2026,3,voice,55833,629
San Antonio,2026,4,voice,45123,407
Scottsdale (Southwest),2025,5,callback,12,2
Scottsdale (Southwest),2025,5,email,267,2
Scottsdale (Southwest),2025,5,message,24343,198
Scottsdale (Southwest),2025,5,voice,1573212,6085
Scottsdale (Southwest),2025,6,message,23648,201
Scottsdale (Southwest),2025,6,voice,1558099,6267
Scottsdale (Southwest),2025,7,message,17016,115
Scottsdale (Southwest),2025,7,voice,1771003,6650
Scottsdale (Southwest),2025,8,message,18281,106
Scottsdale (Southwest),2025,8,voice,1455060,5495
Scottsdale (Southwest),2025,9,callback,66,1
Scottsdale (Southwest),2025,9,message,50971,226
Scottsdale (Southwest),2025,9,voice,1431053,5683
Scottsdale (Southwest),2025,10,callback,91,1
Scottsdale (Southwest),2025,10,email,311,1
Scottsdale (Southwest),2025,10,message,26983,164
Scottsdale (Southwest),2025,10,voice,1593289,7009
Scottsdale (Southwest),2025,11,message,26188,197
Scottsdale (Southwest),2025,11,voice,1230701,5351
Scottsdale (Southwest),2025,12,callback,132,2
Scottsdale (Southwest),2025,12,message,23401,172
Scottsdale (Southwest),2025,12,voice,1430007,5472
Scottsdale (Southwest),2026,1,message,35266,182
Scottsdale (Southwest),2026,1,voice,1424061,5555
Scottsdale (Southwest),2026,2,callback,865,1
Scottsdale (Southwest),2026,2,message,46064,193
Scottsdale (Southwest),2026,2,voice,1370088,5405
Scottsdale (Southwest),2026,3,message,44076,146
Scottsdale (Southwest),2026,3,voice,1542092,6208
Scottsdale (Southwest),2026,4,callback,16,1
Scottsdale (Southwest),2026,4,message,51018,182
Scottsdale (Southwest),2026,4,voice,1447047,5442
South CA,2025,5,callback,58,1
South CA,2025,5,email,21801,301
South CA,2025,5,message,334498,1371
South CA,2025,5,voice,1624719,9300
South CA,2025,6,callback,11,1
South CA,2025,6,email,10886,177
South CA,2025,6,message,387012,1569
South CA,2025,6,voice,1558479,8794
South CA,2025,7,email,15723,166
South CA,2025,7,message,463300,1889
South CA,2025,7,voice,1858695,10617
South CA,2025,8,email,16113,139
South CA,2025,8,message,386003,1523
South CA,2025,8,voice,1836666,10114
South CA,2025,9,email,11265,131
South CA,2025,9,message,377665,1580
South CA,2025,9,voice,1832557,10057
South CA,2025,10,callback,4728,6
South CA,2025,10,email,18933,130
South CA,2025,10,message,457692,1808
South CA,2025,10,voice,1919998,10170
South CA,2025,11,email,19628,101
South CA,2025,11,message,256598,969
South CA,2025,11,voice,1358258,6873
South CA,2025,12,email,14130,83
South CA,2025,12,message,339399,1408
South CA,2025,12,voice,1825963,9737
South CA,2026,1,callback,203,1
South CA,2026,1,email,30808,133
South CA,2026,1,message,331573,1422
South CA,2026,1,voice,1787110,9336
South CA,2026,2,email,22065,105
South CA,2026,2,message,292996,1212
South CA,2026,2,voice,1491052,8159
South CA,2026,3,callback,961,1
South CA,2026,3,email,8047,58
South CA,2026,3,message,338366,1316
South CA,2026,3,voice,1912143,10278
South CA,2026,4,email,2744,15
South CA,2026,4,message,284656,1029
South CA,2026,4,voice,1624013,8628
Tampa,2025,5,callback,374,9
Tampa,2025,5,email,716801,1316
Tampa,2025,5,message,76879,642
Tampa,2025,5,voice,1433152,8699
Tampa,2025,6,callback,78,6
Tampa,2025,6,email,739375,1412
Tampa,2025,6,message,87494,816
Tampa,2025,6,voice,1419362,8601
Tampa,2025,7,callback,51,5
Tampa,2025,7,email,686216,1164
Tampa,2025,7,message,137950,820
Tampa,2025,7,voice,1506901,8450
Tampa,2025,8,callback,71,1
Tampa,2025,8,email,775415,1252
Tampa,2025,8,message,133314,1031
Tampa,2025,8,voice,1408590,7481
Tampa,2025,9,callback,32,1
Tampa,2025,9,email,770217,1100
Tampa,2025,9,message,84914,557
Tampa,2025,9,voice,1407373,7925
Tampa,2025,10,callback,1772,6
Tampa,2025,10,email,846499,1129
Tampa,2025,10,message,87644,637
Tampa,2025,10,voice,1380222,8618
Tampa,2025,11,callback,6,1
Tampa,2025,11,email,452180,658
Tampa,2025,11,message,62152,373
Tampa,2025,11,voice,1102069,6952
Tampa,2025,12,callback,387,2
Tampa,2025,12,email,479805,985
Tampa,2025,12,message,108734,614
Tampa,2025,12,voice,1231197,7487
Tampa,2026,1,callback,107,2
Tampa,2026,1,email,780372,1075
Tampa,2026,1,message,106117,691
Tampa,2026,1,voice,1379338,8090
Tampa,2026,2,callback,2184,7
Tampa,2026,2,email,950453,1263
Tampa,2026,2,message,125116,750
Tampa,2026,2,voice,1282685,7996
Tampa,2026,3,callback,317,3
Tampa,2026,3,email,993130,1449
Tampa,2026,3,message,116217,634
Tampa,2026,3,voice,1412066,8460
Tampa,2026,4,email,983512,1282
Tampa,2026,4,message,126965,617
Tampa,2026,4,voice,1357839,7768
